Date,Open,High,Low,Close,Volume
1/1/2012,26.02,27.290001,24.82,25.91,18576800
2/1/2012,26.02,28.120001,25.91,25.98,21314300
3/1/2012,26.030001,28.870001,25.389999,27.75,21309100
4/1/2012,27.709999,28.549999,26.5,27.879999,14242600
5/1/2012,27.91,28.32,24.42,25.33,19062100
6/1/2012,24.709999,26.629999,23.02,25.17,25124900
7/1/2012,25.27,25.700001,23,23.98,17424100
8/1/2012,24.059999,25.709999,22.43,24.290001,17330500
9/1/2012,24.23,26,23.809999,25.15,20743800
10/1/2012,25.25,25.5,23.41,24.26,22262400
11/1/2012,24.34,26.309999,23.92,26.09,20322200
12/1/2012,26.25,27.67,25.58,27.1,14561500
1/1/2013,27.629999,28.26,26.389999,27.93,16767000
2/1/2013,28,28.85,26.799999,27.5,18680000
3/1/2013,27.32,29.49,26.940001,27.559999,21475300
4/1/2013,27.559999,28.860001,26.379999,27.75,22214000
5/1/2013,27.610001,29.190001,27.120001,28.139999,22610800
6/1/2013,28.219999,28.469999,25.559999,26.940001,18978500
7/1/2013,27.120001,29.790001,23.610001,24.93,32947800
8/1/2013,25.18,25.48,24.139999,24.780001,38775800
9/1/2013,25.030001,28.4,24.950001,27.93,38463000
10/1/2013,27.959999,34.66,26.99,34.5,38044500
11/1/2013,34.529999,34.93,32.98,34.560001,26021300
12/1/2013,34.68,34.880001,32.790001,34.599998,21524700
1/1/2014,34.389999,37.049999,32.619999,33.360001,25899900
2/1/2014,33.360001,39.790001,32.630001,39.349998,26623400
3/1/2014,39.139999,39.240002,35.34,36.419998,24437500
4/1/2014,36.470001,37.93,34.5,37.59,25314000
5/1/2014,37.529999,38.91,36.330002,37.299999,20804600
6/1/2014,37.389999,40,36.830002,39.080002,23165400
7/1/2014,39.330002,39.43,35.259998,35.290001,21178300
8/1/2014,35.18,38.130001,34.77,37.259998,15835000
9/1/2014,37.5,38.34,35.380001,35.490002,15051600
10/1/2014,35.450001,36.740002,31.799999,36.360001,27654900
11/1/2014,36.34,38.689999,35.790001,38.34,15070800
12/1/2014,38.110001,39.23,35.689999,38.07,14348200
1/1/2015,38.400002,38.59,33.540001,34.099998,20129800
2/1/2015,34.25,36.279999,33.810001,35.700001,21395300
3/1/2015,35.700001,36.380001,34.189999,35.02,21760500
4/1/2015,35.48,37.48,34.799999,37.02,21440000
5/1/2015,37.290001,37.48,36.16,36.57,17796600
6/1/2015,36.73,37.700001,36,37.07,21104100
7/1/2015,37.32,37.32,34.25,34.529999,21734700
8/1/2015,34.5,34.5,29.9,32.450001,28686900
9/1/2015,31.76,33.560001,30.98,32.849998,33164100
10/1/2015,32.880001,36.779999,32.16,36.41,36352700
11/1/2015,36.349998,38,35.68,37.32,22596200
12/1/2015,37.369999,37.759998,35.810001,36.5,20647400
1/1/2016,35.919998,36.610001,31.67,35.950001,26069600
2/1/2016,35.639999,38.080002,34.57,37.41,39349300
3/1/2016,37.709999,41.209999,37.450001,40.900002,31643800
4/1/2016,40.639999,43.040001,40.470001,41.779999,26906000
5/1/2016,41.849998,45,40.950001,44.66,26823500
6/1/2016,44.32,46.669998,42.52,44.650002,28424000
7/1/2016,44.66,48.060001,44.439999,47.810001,19487300
8/1/2016,47.919998,51.790001,45.73,50.860001,23628600
9/1/2016,50.77,52.709999,48,52.450001,23627800
10/1/2016,52.110001,53.25,47.689999,48.330002,25541800
11/1/2016,46.830002,54.990002,45.599998,51.580002,35643800
12/1/2016,51.900002,52.400002,49.360001,49.52,23669100
1/1/2017,49.950001,50.66,47.919998,49.310001,31873500
2/1/2017,49.049999,50.16,46.669998,48.119999,35444300
3/1/2017,48.700001,50.5,47.369999,50.220001,31956200
4/1/2017,50.220001,52.029999,48.810001,51.41,26993700
5/1/2017,51.459999,52.970001,49.709999,52.139999,27505500
6/1/2017,52.439999,55.68,52.16,55.43,28035500
7/1/2017,55.77,58.23,54.080002,56.73,25374800
8/1/2017,57.619999,62.150002,57.619999,62.07,19845400
9/1/2017,62.18,64.800003,61.540001,62.630001,17748600
10/1/2017,62.82,67.639999,62.240002,66.529999,21874300
11/1/2017,67.019997,69.690002,65.410004,69.339996,13449600
12/1/2017,69.379997,69.879997,66.650002,68.199997,15866200
1/1/2018,68.209999,75.160004,67.5,72.260002,18067400
2/1/2018,72.5,76.809998,68.379997,74.580002,25281400
3/1/2018,74.5,79.830002,72.279999,76.919998,19762100
4/1/2018,76.919998,79.790001,72.790001,72.900002,21441500
5/1/2018,72.089996,74.099998,68.089996,70.400002,30414500
6/1/2018,71.120003,73.75,65.550003,67.379997,25335700
7/1/2018,66.75,77.139999,66.150002,76.559998,25826300
8/1/2018,76.489998,77.580002,73.139999,75.910004,22716400
9/1/2018,75.660004,82.440002,75.080002,79.870003,16727200
10/1/2018,80.660004,81.080002,63.709999,65.580002,28965600
11/1/2018,65.970001,73.089996,65.580002,72.980003,22730100
12/1/2018,74.809998,75.089996,60.650002,66.720001,21251100
1/1/2019,65.709999,73.129997,63.779999,71.260002,21172700
2/1/2019,71.620003,76.480003,69.57,75.550003,17313800
3/1/2019,75.900002,79.610001,74.379997,79.040001,15544600
4/1/2019,79.790001,84.220001,79.099998,83.400002,16397000
5/1/2019,83.57,84.410004,73,74.220001,20972000
6/1/2019,74.330002,83.809998,74.160004,83.639999,16613700
7/1/2019,84.629997,85.389999,79.610001,80.290001,15681500
8/1/2019,79.57,81.099998,73.349998,76.610001,16272600
9/1/2019,75.839996,80.470001,74.080002,79.620003,14952400
10/1/2019,80.089996,85.669998,72.870003,76.690002,18512800
11/1/2019,77.480003,79.690002,75.239998,77.510002,21748100
12/1/2019,77.459999,79.459999,73.879997,78.790001,17122300
1/1/2020,79.160004,83.959999,78.699997,81.660004,22382800
2/1/2020,82.489998,89.339996,75.540001,77.339996,33120000
3/1/2020,77.949997,85.690002,54.619999,65.129997,38516300
4/1/2020,61.970001,75.43,57.75,71.900002,28797400
5/1/2020,70.879997,71.190002,56.630001,66.339996,27455300
6/1/2020,66.339996,73.93,60.919998,64.959999,32172100
7/1/2020,65.029999,77.360001,63.630001,72.980003,26052700
8/1/2020,73.349998,82.059998,72.57,80.18,14217600
9/1/2020,80.379997,87.639999,79.720001,84.120003,20686100
10/1/2020,84.5,93.150002,80.949997,87.139999,17302800
11/1/2020,88.839996,99.059998,85.580002,95.970001,17134700
12/1/2020,97.519997,101.870003,95.139999,101.790001,18171000
